movie_id,movie_brief,director,writers,casts
86,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,James Ivory,Kazuo Ishiguro|Ruth Prawer Jhabvala,Anthony Hopkins|Emma Thompson|John Haycraft
87,A prepubescent chess prodigy refuses to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.,Steven Zaillian,Fred Waitzkin|Steven Zaillian,Joe Mantegna|Ben Kingsley|Max Pomeranc
88,A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.,Nora Ephron,Jeff Arch|Nora Ephron|David S. Ward,Tom Hanks|Meg Ryan|Ross Malinger
89,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Ridley Scott,Hampton Fancher|David Webb Peoples|Philip K. Dick,Harrison Ford|Rutger Hauer|Sean Young
90,A San Francisco poet who fears commitment suspects his girlfriend may have a knack for killing off her significant others.,Thomas Schlamme,Robbie Fox,Mike Myers|Nancy Travis|Anthony LaPaglia
91,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Henry Selick,Tim Burton|Michael McDowell|Caroline Thompson,Danny Elfman|Chris Sarandon|Catherine O'Hara
92,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in ... Read all",Tony Scott,Quentin Tarantino|Roger Avary,Christian Slater|Patricia Arquette|Dennis Hopper
93,"An awkward seventh-grader struggles to cope with inattentive parents, snobbish class-mates, a smart older brother, an attractive younger sister and her own insecurities in suburban New Jerse... Read all",Todd Solondz,Todd Solondz,Heather Matarazzo|Christina Brucato|Victoria Davis
94,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,Chris Columbus,John Hughes,Macaulay Culkin|Joe Pesci|Daniel Stern
95,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Ron Clements,Ron Clements|John Musker|Ted Elliott,Scott Weinger|Robin Williams|Linda Larkin
96,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",James Cameron,James Cameron|William Wisher,Arnold Schwarzenegger|Linda Hamilton|Edward Furlong
97,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military.",Kevin Costner,Michael Blake,Kevin Costner|Mary McDonnell|Graham Greene
98,"Today, Rob looks at the Academy Award winning Silence Of The Lambs; starring Anthony Hopkins and Jodie Foster in tremendous groundbreaking performances in a truly terrifying picture.",Rob Boor,Rob Boor,Rob Boor
99,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",Directors,Jacob Grimm|Wilhelm Grimm|Ted Sears,Adriana Caselotti|Harry Stockwell|Lucille La Verne
100,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Joel Coen,Ethan Coen|Joel Coen,William H. Macy|Frances McDormand|Steve Buscemi
101,"A glowing green orb - which embodies ultimate evil - terrorizes a young girl with an anthology of bizarre and fantastic stories of dark fantasy, eroticism and horror.",Directors,Daniel Goldberg|Len Blum|Dan O'Bannon,Richard Romanus|John Candy|Joe Flaherty
102,"With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them ... Read all",Wolfgang Reitherman,Larry Clemmons|Vance Gerry|Ken Anderson,Phil Harris|Eva Gabor|Sterling Holloway
103,"Charlie and Itchy return to Earth to find Gabriel's Horn, but along the way meet up with a young boy named David, who ran away from home.",Larry Leker,Arne Olsen|Kelly Ward|Mark Young,Charlie Sheen|Sheena Easton|Dom DeLuise
104,"In an alternate futuristic society, a tough female police detective is paired with a talking dinosaur to find the killer of dinosaurs and other prehistoric animals leading them to a mad scie... Read all",Jonathan R. Betuel,Jonathan R. Betuel,Whoopi Goldberg|Armin Mueller-Stahl|Juliet Landau
105,"Sgt. Bilko is a well-liked conman in charge of the army base's motor pool, developing a hover tank and unofficially of gambling etc. One man hates Bilko and he's coming to inspect the base f... Read all",Jonathan Lynn,Nat Hiken|Andy Breckman,Steve Martin|Dan Aykroyd|Phil Hartman
106,The wife and mistress of the sadistic dean of an exclusive prep school conspire to murder him.,Jeremiah S. Chechik,Pierre Boileau|Thomas Narcejac|Henri-Georges Clouzot,Sharon Stone|Isabelle Adjani|Chazz Palminteri
107,"The daughter of a thief, young Moll is placed in the care of a nunnery after her mother's execution, but the actions of an abusive priest lead her to rebel as a teenager, and she escapes to ... Read all",Pen Densham,Daniel Defoe|Pen Densham,Robin Wright|Morgan Freeman|Stockard Channing
108,"A pharmaceutical scientist creates a pill that makes people remember their happiest memory, and although it's successful, it has unfortunate side effects.",Kelly Makin,Norm Hiscock|Bruce McCulloch|Kevin McDonald,David Foley|Bruce McCulloch|Kevin McDonald
109,Mike Nelson and his robot companions watch and give their comments about This Island Earth (1955).,Jim Mallon,Michael J. Nelson|Trace Beaulieu|Jim Mallon,Trace Beaulieu|Michael J. Nelson|Jim Mallon
110,"To keep the loyalty of a village during the Vietnam war, a U.S. Army officer and his unit struggle to deliver it a live elephant.",Simon Wincer,James Morris|Gene Quintano|Jim Kouf,Danny Glover|Ray Liotta|Denis Leary
111,A successful veternarian & radio show host with low self-esteem asks her model friend to impersonate her when a handsome man wants to see her.,Michael Lehmann,Audrey Wells,Uma Thurman|Janeane Garofalo|Ben Chaplin
112,A teenage boy sent to spend the summer with his eccentric uncle on the Florida coast befriends a remarkable dolphin and takes on local bad guys who are polluting the water.,Alan Shapiro,Ricou Browning|Jack Cowden|Arthur Weiss,Paul Hogan|Elijah Wood|Jonathan Banks
113,"In a time of war and disease, a young officer gallantly tries to help a young woman find her husband.",Jean-Paul Rappeneau,Jean Giono|Jean-Paul Rappeneau|Nina Companeez,Olivier Martinez|Juliette Binoche|Pierre Arditi
114,"Siskel and Ebert review Eraser (1996), [error], The Hunchback of Notre Dame (1996), Lone Star (1996), Nelly & Monsieur Arnaud (1995).",Don DuPree,Roger Ebert|Gene Siskel,Unknown
115,How was it possible that a movie like Plan 9 from Outer Space (1957) could be made? This documentary about Edward D. Wood Jr.'s masterpiece gives the answer.,Brett Thompson,Brett Thompson,Maila Nurmi|Dolores Fuller|Paul Marco
116,"A recently orphaned young woman goes to live with eccentric relatives in Sussex, where she sets about improving their gloomy lives.",John Schlesinger,Malcolm Bradbury|Stella Gibbons,Eileen Atkins|Kate Beckinsale|Sheila Burrell
117,"A group of aliens are sent to Earth, disguised as a human family, to experience and report life on the third planet from the sun.",Bonnie Turner,John Lithgow|Jane Curtin|Kristen Johnston,Unknown
118,"Bill and Jo Harding, advanced storm chasers on the brink of divorce, must join together to create an advanced weather alert system by putting themselves in the cross-hairs of extremely viole... Read all",Jan de Bont,Michael Crichton|Anne-Marie Martin,Helen Hunt|Bill Paxton|Cary Elwes
119,A film about the work of the artist most famous for her monuments such as the Vietnam Memorial Wall and the Civil Rights Fountain Memorial.,Freida Lee Mock,Freida Lee Mock,Maya Lin
120,A stripper and single mother gets dragged into a dangerous situation after a congressman takes a fancy to her.,Andrew Bergman,Carl Hiaasen|Andrew Bergman,Demi Moore|Burt Reynolds|Armand Assante
121,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",Roland Emmerich,Dean Devlin|Roland Emmerich,Will Smith|Bill Pullman|Jeff Goldblum
122,A designer makes a grievious mistake when he rejects the friendship of a borderline cable guy.,Ben Stiller,Lou Holtz Jr.,Jim Carrey|Matthew Broderick|Leslie Mann
123,"After a tragic car accident that kills his wife, a man discovers he can communicate with the dead to con people. However, when a demonic spirit appears, he may be the only one who can stop i... Read all",Peter Jackson,Fran Walsh|Peter Jackson,Michael J. Fox|Trini Alvarado|Peter Dobson
124,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town.",John Sayles,John Sayles,Chris Cooper|Elizabeth Peña|Stephen Mendillo
125,"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.",Jon Turteltaub,Gerald Di Pego,John Travolta|Kyra Sedgwick|Forest Whitaker
126,"Oscar-winner Ellen Burstyn (The Exorcist) headlines this critically praised drama about a young woman, just out of prison, who finds spiritual redemption working at a cafe in Maine.",Lee David Zlotoff,Lee David Zlotoff,Alison Elliott|Ellen Burstyn|Marcia Gay Harden
127,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,Francis Ford Coppola,Mario Puzo|Francis Ford Coppola,Marlon Brando|Al Pacino|James Caan
128,A Hong Kong detective teams up with his female Red Chinese counterpart to stop a Chinese drug czar.,Stanley Tong,Edward Tang|Fibe Ma|Lee Wai Yee,Jackie Chan|Michelle Yeoh|Maggie Cheung
129,Tough ex-con Corky and her lover Violet concoct a scheme to steal millions of stashed mob money and pin the blame on Violet's crooked boyfriend Caesar.,Lana Wachowski,Lilly Wachowski|Lana Wachowski,Jennifer Tilly|Gina Gershon|Joe Pantoliano
130,A pair of kidnappings expose the complex power dynamics within the corrupt and unpredictable workings of 1930s Kansas City.,Robert Altman,Robert Altman|Frank Barhydt,Jennifer Jason Leigh|Miranda Richardson|Harry Belafonte
131,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",Blake Edwards,Truman Capote|George Axelrod,Audrey Hepburn|George Peppard|Patricia Neal
132,"Young Dorothy Gale and her dog are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return he... Read all",Directors,Noel Langley|Florence Ryerson|Edgar Allan Woolf,Judy Garland|Frank Morgan|Ray Bolger
133,The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.,Victor Fleming,Margaret Mitchell|Sidney Howard|Oliver H.P. Garrett,Clark Gable|Vivien Leigh|Thomas Mitchell
134,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",Orson Welles,Herman J. Mankiewicz|Orson Welles|John Houseman,Orson Welles|Joseph Cotten|Dorothy Comingore
135,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 900... Read all",Stanley Kubrick,Stanley Kubrick|Arthur C. Clarke,Keir Dullea|Gary Lockwood|William Sylvester
